"Reference","Value","Footprint","MPN","Description"
"C101,C104,C201,C204,C301,C303,C401,C403","10u/50V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","in L coupling,in L stage-2 coupling,in R coupling,in R stage-2 coupling,out L DAC coupling,out L coupling,out R DAC coupling,out R coupling"
"C102,C202,C302,C402","100p","Capacitor_SMD:C_0805_2012Metric","","in L rf,in R rf,out L fb,out R fb"
"C103,C203","1n","Capacitor_SMD:C_0805_2012Metric","","in L divider lp,in R divider lp"
"C105,C205","470p","Capacitor_SMD:C_0805_2012Metric","","in L stage-2 fb (~50 kHz),in R stage-2 fb (~50 kHz)"
"C106,C206","33n","Capacitor_SMD:C_0805_2012Metric","","in L codec lp,in R codec lp"
"C501-C505","100u/16V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","rail bulk"
"C506,C511,C512,C514,C521-C524","100n","Capacitor_SMD:C_0805_2012Metric","","+5V_ESP hf,+5V_SEED hf,+9V hf,AREF out hf,U2 decoupling,U3 decoupling,U4 decoupling,U6 decoupling"
"C507","10u/25V","Capacitor_SMD:C_0805_2012Metric","","buck Cin"
"C508,C509","22u/10V","Capacitor_SMD:C_0805_2012Metric","","buck Cout"
"C510","100n","Capacitor_SMD:C_0603_1608Metric","","buck BST"
"C513","10u","Capacitor_SMD:C_0805_2012Metric","","AREF divider filter"
"D1","NSR1020MW2","Diode_SMD:D_SOD-323","onsemi NSR1020MW2T3G","reverse polarity, SOD-323"
"D2","SMAJ12A","Diode_SMD:D_SMA","Littelfuse SMAJ12A","surge clamp"
"D21","LED Tremolo","LED_THT:LED_D3.0mm","","3 mm"
"D22","LED Delay","LED_THT:LED_D3.0mm","","3 mm"
"D23","LED Reverb","LED_THT:LED_D3.0mm","","3 mm"
"D24","LED Fuzz","LED_THT:LED_D3.0mm","","3 mm"
"D25","LED Tempo","LED_THT:LED_D3.0mm","","3 mm"
"F1","1A PTC","Fuse:Fuse_1812_4532Metric","Bourns MF-MSMF110-2","resettable fuse"
"FB1-FB4","220R@100MHz","Inductor_SMD:L_0805_2012Metric","Murata BLM21PG221SN1D","ESP32 5V bead,Seed 5V bead,analog rail bead,input bead"
